"","x","y","timeslot","origin"
"66.9%3",976.273674525024,0.669,"18h-23h","Measurement"
"67.0%3",987.393036880493,0.67,"18h-23h","Measurement"
"67.1%3",998.451289757967,0.671,"18h-23h","Measurement"
"67.2%3",1009.83728012657,0.672,"18h-23h","Measurement"
"67.3%3",1021.45606729269,0.673,"18h-23h","Measurement"
"67.4%3",1032.54018924904,0.674,"18h-23h","Measurement"
"67.5%3",1044.13866453767,0.675,"18h-23h","Measurement"
"67.6%3",1056.04863868523,0.676,"18h-23h","Measurement"
"67.7%3",1067.78241259623,0.677,"18h-23h","Measurement"
"67.8%3",1080.00702126169,0.678,"18h-23h","Measurement"
"67.9%3",1092.43660273194,0.679,"18h-23h","Measurement"
"68.0%3",1104.89694963455,0.68,"18h-23h","Measurement"
"68.1%3",1117.72268746495,0.681,"18h-23h","Measurement"
"68.2%3",1130.00991152287,0.682,"18h-23h","Measurement"
"68.3%3",1142.90543518424,0.683,"18h-23h","Measurement"
"68.4%3",1155.78716694641,0.684,"18h-23h","Measurement"
"68.5%3",1168.88762274504,0.685,"18h-23h","Measurement"
"68.6%3",1181.8579201746,0.686,"18h-23h","Measurement"
"68.7%3",1194.99679175639,0.687,"18h-23h","Measurement"
"68.8%3",1202.79107789421,0.688,"18h-23h","Measurement"
"68.9%3",1214.15875066876,0.689,"18h-23h","Measurement"
"69.0%3",1227.04132257462,0.69,"18h-23h","Measurement"
"69.1%3",1239.57344372773,0.691,"18h-23h","Measurement"
"69.2%3",1253.50444213009,0.692,"18h-23h","Measurement"
"69.3%3",1266.91249702358,0.693,"18h-23h","Measurement"
"69.4%3",1281.04037214947,0.694,"18h-23h","Measurement"
"69.5%3",1295.4305622375,0.695,"18h-23h","Measurement"
"69.6%3",1310.06138957405,0.696,"18h-23h","Measurement"
"69.7%3",1324.49748523593,0.697,"18h-23h","Measurement"
"69.8%3",1338.9021236248,0.698,"18h-23h","Measurement"
"69.9%3",1353.91767284298,0.699,"18h-23h","Measurement"
"70.0%3",1369.04671981335,0.7,"18h-23h","Measurement"
"70.1%3",1384.59934204197,0.701,"18h-23h","Measurement"
"70.2%3",1400.29033433199,0.702,"18h-23h","Measurement"
"70.3%3",1415.68235870671,0.703,"18h-23h","Measurement"
"70.4%3",1431.94184425544,0.704,"18h-23h","Measurement"
"70.5%3",1447.43482967019,0.705,"18h-23h","Measurement"
"70.6%3",1463.19986006784,0.706,"18h-23h","Measurement"
"70.7%3",1478.96871794629,0.707,"18h-23h","Measurement"
"70.8%3",1495.37329873466,0.708,"18h-23h","Measurement"
"70.9%3",1507.45666909122,0.709,"18h-23h","Measurement"
"71.0%3",1524.02856220245,0.71,"18h-23h","Measurement"
"71.1%3",1541.21753248787,0.711,"18h-23h","Measurement"
"71.2%3",1557.888649477,0.712,"18h-23h","Measurement"
"71.3%3",1575.27368582225,0.713,"18h-23h","Measurement"
"71.4%3",1592.44283208132,0.714,"18h-23h","Measurement"
"71.5%3",1609.47765837431,0.715,"18h-23h","Measurement"
"71.6%3",1627.41313852692,0.716,"18h-23h","Measurement"
"71.7%3",1645.01480443883,0.717,"18h-23h","Measurement"
"71.8%3",1663.27331036377,0.718,"18h-23h","Measurement"
"71.9%3",1681.20101789021,0.719,"18h-23h","Measurement"
"72.0%3",1699.45207827568,0.72,"18h-23h","Measurement"
"72.1%3",1717.11321674776,0.721,"18h-23h","Measurement"
"72.2%3",1734.91270597506,0.722,"18h-23h","Measurement"
"72.3%3",1753.14105522752,0.723,"18h-23h","Measurement"
"72.4%3",1771.03748657322,0.724,"18h-23h","Measurement"
"72.5%3",1788.98155581355,0.725,"18h-23h","Measurement"
"72.6%3",1800.06795420504,0.726,"18h-23h","Measurement"
"72.7%3",1805.6194286623,0.727,"18h-23h","Measurement"
"72.8%3",1807.27401462936,0.728,"18h-23h","Measurement"
"72.9%3",1808.07104214406,0.729,"18h-23h","Measurement"
"73.0%3",1808.86597286701,0.73,"18h-23h","Measurement"
"73.1%3",1809.87733822274,0.731,"18h-23h","Measurement"
"73.2%3",1811.75626529026,0.732,"18h-23h","Measurement"
"73.3%3",1814.05790360427,0.733,"18h-23h","Measurement"
"73.4%3",1818.66825816202,0.734,"18h-23h","Measurement"
"73.5%3",1826.83856648445,0.735,"18h-23h","Measurement"
"73.6%3",1836.94678057098,0.736,"18h-23h","Measurement"
"73.7%3",1847.92640620351,0.737,"18h-23h","Measurement"
"73.8%3",1860.99892053699,0.738,"18h-23h","Measurement"
"73.9%3",1873.84200613809,0.739,"18h-23h","Measurement"
"74.0%3",1887.90792279243,0.74,"18h-23h","Measurement"
"74.1%3",1902.44684607482,0.741,"18h-23h","Measurement"
"74.2%3",1913.81672552061,0.742,"18h-23h","Measurement"
"74.3%3",1923.17452755499,0.743,"18h-23h","Measurement"
"74.4%3",1930.7112104187,0.744,"18h-23h","Measurement"
"74.5%3",1939.35680510759,0.745,"18h-23h","Measurement"
"74.6%3",1950.17439118481,0.746,"18h-23h","Measurement"
"74.7%3",1962.93164561391,0.747,"18h-23h","Measurement"
"74.8%3",1977.58013280773,0.748,"18h-23h","Measurement"
"74.9%3",1992.33236616683,0.749,"18h-23h","Measurement"
"75.0%3",2007.84337383509,0.75,"18h-23h","Measurement"
"75.1%3",2023.24011611652,0.751,"18h-23h","Measurement"
"75.2%3",2039.92250914955,0.752,"18h-23h","Measurement"
"75.3%3",2057.0623661499,0.753,"18h-23h","Measurement"
"75.4%3",2075.31134703636,0.754,"18h-23h","Measurement"
"75.5%3",2094.42764213443,0.755,"18h-23h","Measurement"
"75.6%3",2112.05855288601,0.756,"18h-23h","Measurement"
"75.7%3",2130.50015453529,0.757,"18h-23h","Measurement"
"75.8%3",2150.1601217289,0.758,"18h-23h","Measurement"
"75.9%3",2170.30443154287,0.759,"18h-23h","Measurement"
"76.0%3",2190.84854608536,0.76,"18h-23h","Measurement"
"76.1%3",2211.34454204464,0.761,"18h-23h","Measurement"
"76.2%3",2232.90002940607,0.762,"18h-23h","Measurement"
"76.3%3",2253.29250571895,0.763,"18h-23h","Measurement"
"76.4%3",2274.81534432698,0.764,"18h-23h","Measurement"
"76.5%3",2295.88073216438,0.765,"18h-23h","Measurement"
"76.6%3",2317.36084082699,0.766,"18h-23h","Measurement"
"76.7%3",2339.23568550468,0.767,"18h-23h","Measurement"
"76.8%3",2360.98027907562,0.768,"18h-23h","Measurement"
"76.9%3",2382.92067033672,0.769,"18h-23h","Measurement"
"77.0%3",2404.72513473511,0.77,"18h-23h","Measurement"
"77.1%3",2425.93576127315,0.771,"18h-23h","Measurement"
"77.2%3",2449.06202450848,0.772,"18h-23h","Measurement"
"77.3%3",2471.87972723842,0.773,"18h-23h","Measurement"
"77.4%3",2495.15384041071,0.774,"18h-23h","Measurement"
"77.5%3",2519.14797785282,0.775,"18h-23h","Measurement"
"77.6%3",2543.05247405052,0.776,"18h-23h","Measurement"
"77.7%3",2567.59265330124,0.777,"18h-23h","Measurement"
"77.8%3",2592.16265041161,0.778,"18h-23h","Measurement"
"77.9%3",2617.38563248301,0.779,"18h-23h","Measurement"
"78.0%3",2642.3279981041,0.78,"18h-23h","Measurement"
"78.1%3",2667.4164977994,0.781,"18h-23h","Measurement"
"78.2%3",2692.47090473509,0.782,"18h-23h","Measurement"
"78.3%3",2716.86148346353,0.783,"18h-23h","Measurement"
"78.4%3",2742.63744833565,0.784,"18h-23h","Measurement"
"78.5%3",2768.6407913816,0.785,"18h-23h","Measurement"
"78.6%3",2796.28584758902,0.786,"18h-23h","Measurement"
"78.7%3",2822.99314820337,0.787,"18h-23h","Measurement"
"78.8%3",2850.36224616337,0.788,"18h-23h","Measurement"
"78.9%3",2877.51395339727,0.789,"18h-23h","Measurement"
"79.0%3",2903.73491760492,0.79,"18h-23h","Measurement"
"79.1%3",2930.38384146881,0.791,"18h-23h","Measurement"
"79.2%3",2957.53918105698,0.792,"18h-23h","Measurement"
"79.3%3",2985.69993150377,0.793,"18h-23h","Measurement"
"79.4%3",3011.99519951153,0.794,"18h-23h","Measurement"
"79.5%3",3041.35902248979,0.795,"18h-23h","Measurement"
"79.6%3",3070.08219382,0.796,"18h-23h","Measurement"
"79.7%3",3098.67341126347,0.797,"18h-23h","Measurement"
"79.8%3",3128.91555671025,0.798,"18h-23h","Measurement"
"79.9%3",3159.46043648934,0.799,"18h-23h","Measurement"
"80.0%3",3190.06188640595,0.8,"18h-23h","Measurement"
"80.1%3",3220.85779846096,0.801,"18h-23h","Measurement"
"80.2%3",3251.0275089035,0.802,"18h-23h","Measurement"
"80.3%3",3281.39730448699,0.803,"18h-23h","Measurement"
"80.4%3",3310.81130299473,0.804,"18h-23h","Measurement"
"80.5%3",3341.61877195239,0.805,"18h-23h","Measurement"
"80.6%3",3372.95592676497,0.806,"18h-23h","Measurement"
"80.7%3",3404.55536655378,0.807,"18h-23h","Measurement"
"80.8%3",3435.70738975334,0.808,"18h-23h","Measurement"
"80.9%3",3466.53311497021,0.809,"18h-23h","Measurement"
"81.0%3",3496.81559721231,0.81,"18h-23h","Measurement"
"81.1%3",3526.62278329802,0.811,"18h-23h","Measurement"
"81.2%3",3555.64658853054,0.812,"18h-23h","Measurement"
"81.3%3",3583.59477941847,0.813,"18h-23h","Measurement"
"81.4%3",3600.89885740471,0.814,"18h-23h","Measurement"
"81.5%3",3623.51351197601,0.815,"18h-23h","Measurement"
"81.6%3",3653.60251317787,0.816,"18h-23h","Measurement"
"81.7%3",3682.28379625059,0.817,"18h-23h","Measurement"
"81.8%3",3711.65897393179,0.818,"18h-23h","Measurement"
"81.9%3",3743.14525632906,0.819,"18h-23h","Measurement"
"82.0%3",3778.63404097557,0.82,"18h-23h","Measurement"
"82.1%3",3812.98931856728,0.821,"18h-23h","Measurement"
"82.2%3",3849.75956465483,0.822,"18h-23h","Measurement"
"82.3%3",3888.10912114573,0.823,"18h-23h","Measurement"
"82.4%3",3924.61605621338,0.824,"18h-23h","Measurement"
"82.5%3",3961.62097980976,0.825,"18h-23h","Measurement"
"82.6%3",4000.80426164294,0.826,"18h-23h","Measurement"
"82.7%3",4040.73529041004,0.827,"18h-23h","Measurement"
"82.8%3",4081.50803883267,0.828,"18h-23h","Measurement"
"82.9%3",4124.36596667075,0.829,"18h-23h","Measurement"
"83.0%3",4164.59675323725,0.83,"18h-23h","Measurement"
"83.1%3",4205.03259927225,0.831,"18h-23h","Measurement"
"83.2%3",4248.23655949021,0.832,"18h-23h","Measurement"
"83.3%3",4290.72747355532,0.833,"18h-23h","Measurement"
"83.4%3",4334.14416140938,0.834,"18h-23h","Measurement"
"83.5%3",4378.83403124451,0.835,"18h-23h","Measurement"
"83.6%3",4424.45615555668,0.836,"18h-23h","Measurement"
"83.7%3",4470.69770753336,0.837,"18h-23h","Measurement"
"83.8%3",4517.06876012468,0.838,"18h-23h","Measurement"
"83.9%3",4562.05008218598,0.839,"18h-23h","Measurement"
"84.0%3",4609.55162795067,0.84,"18h-23h","Measurement"
"84.1%3",4656.94998986483,0.841,"18h-23h","Measurement"
"84.2%3",4706.47710472297,0.842,"18h-23h","Measurement"
"84.3%3",4756.30891587687,0.843,"18h-23h","Measurement"
"84.4%3",4806.66264564417,0.844,"18h-23h","Measurement"
"84.5%3",4855.75094501138,0.845,"18h-23h","Measurement"
"84.6%3",4906.45090064001,0.846,"18h-23h","Measurement"
"84.7%3",4957.64926400495,0.847,"18h-23h","Measurement"
"84.8%3",5009.98337080574,0.848,"18h-23h","Measurement"
"84.9%3",5063.25347986293,0.849,"18h-23h","Measurement"
"85.0%3",5115.78719695806,0.85,"18h-23h","Measurement"
"85.1%3",5170.14636430574,0.851,"18h-23h","Measurement"
"85.2%3",5223.39608857631,0.852,"18h-23h","Measurement"
"85.3%3",5275.92971508908,0.853,"18h-23h","Measurement"
"85.4%3",5330.48888374042,0.854,"18h-23h","Measurement"
"85.5%3",5382.29549821854,0.855,"18h-23h","Measurement"
"85.6%3",5426.08345245933,0.856,"18h-23h","Measurement"
"85.7%3",5482.70303276801,0.857,"18h-23h","Measurement"
"85.8%3",5538.69102808523,0.858,"18h-23h","Measurement"
"85.9%3",5596.82128082275,0.859,"18h-23h","Measurement"
"86.0%3",5656.46675034046,0.86,"18h-23h","Measurement"
"86.1%3",5715.28256595754,0.861,"18h-23h","Measurement"
"86.2%3",5777.32557687426,0.862,"18h-23h","Measurement"
"86.3%3",5841.83347838545,0.863,"18h-23h","Measurement"
"86.4%3",5909.73304078102,0.864,"18h-23h","Measurement"
"86.5%3",5973.75013907194,0.865,"18h-23h","Measurement"
"86.6%3",6040.13791669798,0.866,"18h-23h","Measurement"
"86.7%3",6110.71410715174,0.867,"18h-23h","Measurement"
"86.8%3",6181.59765913296,0.868,"18h-23h","Measurement"
"86.9%3",6252.44776870584,0.869,"18h-23h","Measurement"
"87.0%3",6323.61542664528,0.87,"18h-23h","Measurement"
"87.1%3",6398.39994217157,0.871,"18h-23h","Measurement"
"87.2%3",6471.70513253594,0.872,"18h-23h","Measurement"
"87.3%3",6546.88717186141,0.873,"18h-23h","Measurement"
"87.4%3",6625.46442546701,0.874,"18h-23h","Measurement"
"87.5%3",6704.70781585574,0.875,"18h-23h","Measurement"
"87.6%3",6781.60200757312,0.876,"18h-23h","Measurement"
"87.7%3",6860.11546033597,0.877,"18h-23h","Measurement"
"87.8%3",6940.90095291233,0.878,"18h-23h","Measurement"
"87.9%3",7025.36261194492,0.879,"18h-23h","Measurement"
"88.0%3",7107.56385248184,0.88,"18h-23h","Measurement"
"88.1%3",7188.83309630847,0.881,"18h-23h","Measurement"
"88.2%3",7263.82637006903,0.882,"18h-23h","Measurement"
"88.3%3",7353.94890907002,0.883,"18h-23h","Measurement"
"88.4%3",7447.39057671928,0.884,"18h-23h","Measurement"
"88.5%3",7542.11991281629,0.885,"18h-23h","Measurement"
"88.6%3",7638.4913053689,0.886,"18h-23h","Measurement"
"88.7%3",7736.74641641355,0.887,"18h-23h","Measurement"
"88.8%3",7838.54368948936,0.888,"18h-23h","Measurement"
"88.9%3",7943.45701002241,0.889,"18h-23h","Measurement"
"89.0%3",8048.33891654253,0.89,"18h-23h","Measurement"
"89.1%3",8158.20964688184,0.891,"18h-23h","Measurement"
"89.2%3",8267.82189427757,0.892,"18h-23h","Measurement"
"89.3%3",8381.16909885978,0.893,"18h-23h","Measurement"
"89.4%3",8496.41040443135,0.894,"18h-23h","Measurement"
"89.5%3",8613.11145261764,0.895,"18h-23h","Measurement"
"89.6%3",8736.12435465241,0.896,"18h-23h","Measurement"
"89.7%3",8861.44199239206,0.897,"18h-23h","Measurement"
"89.8%3",8981.11239425374,0.898,"18h-23h","Measurement"
"89.9%3",9093.96674149012,0.899,"18h-23h","Measurement"
"90.0%3",9227.87859940529,0.9,"18h-23h","Measurement"
"90.1%3",9368.28650579023,0.901,"18h-23h","Measurement"
"90.2%3",9504.47621263696,0.902,"18h-23h","Measurement"
"90.3%3",9648.42754732657,0.903,"18h-23h","Measurement"
"90.4%3",9792.32896756172,0.904,"18h-23h","Measurement"
"90.5%3",9943.79174595237,0.905,"18h-23h","Measurement"
"90.6%3",10099.898124362,0.906,"18h-23h","Measurement"
"90.7%3",10255.3970240874,0.907,"18h-23h","Measurement"
"90.8%3",10416.0851043673,0.908,"18h-23h","Measurement"
"90.9%3",10583.6195702009,0.909,"18h-23h","Measurement"
"91.0%3",10747.9208300924,0.91,"18h-23h","Measurement"
"91.1%3",10907.2466942725,0.911,"18h-23h","Measurement"
"91.2%3",11085.4452042866,0.912,"18h-23h","Measurement"
"91.3%3",11235.5924698656,0.913,"18h-23h","Measurement"
"91.4%3",11401.5365387664,0.914,"18h-23h","Measurement"
"91.5%3",11584.2458340561,0.915,"18h-23h","Measurement"
"91.6%3",11766.1369206018,0.916,"18h-23h","Measurement"
"91.7%3",11954.5269404741,0.917,"18h-23h","Measurement"
"91.8%3",12140.8663565445,0.918,"18h-23h","Measurement"
"91.9%3",12336.0632615497,0.919,"18h-23h","Measurement"
"92.0%3",12549.2278939056,0.92,"18h-23h","Measurement"
"92.1%3",12757.0981827762,0.921,"18h-23h","Measurement"
"92.2%3",12981.0184286718,0.922,"18h-23h","Measurement"
"92.3%3",13219.9075842943,0.923,"18h-23h","Measurement"
"92.4%3",13470.7062054815,0.924,"18h-23h","Measurement"
"92.5%3",13720.9159468055,0.925,"18h-23h","Measurement"
"92.6%3",13989.7091407061,0.926,"18h-23h","Measurement"
"92.7%3",14272.3218837967,0.927,"18h-23h","Measurement"
"92.8%3",14400.6560651436,0.928,"18h-23h","Measurement"
"92.9%3",14500.9675252564,0.929,"18h-23h","Measurement"
"93.0%3",14811.5997999239,0.93,"18h-23h","Measurement"
"93.1%3",15159.5301549029,0.931,"18h-23h","Measurement"
"93.2%3",15520.1701330719,0.932,"18h-23h","Measurement"
"93.3%3",15917.5904697344,0.933,"18h-23h","Measurement"
"93.4%3",16305.4437460466,0.934,"18h-23h","Measurement"
"93.5%3",16742.5922575629,0.935,"18h-23h","Measurement"
"93.6%3",17192.4187096825,0.936,"18h-23h","Measurement"
"93.7%3",17696.0835157702,0.937,"18h-23h","Measurement"
"93.8%3",18189.2716541774,0.938,"18h-23h","Measurement"
"93.9%3",18755.933976644,0.939,"18h-23h","Measurement"
"94.0%3",19362.5963589478,0.94,"18h-23h","Measurement"
"94.1%3",19992.6424359463,0.941,"18h-23h","Measurement"
"94.2%3",20686.333068225,0.942,"18h-23h","Measurement"
"94.3%3",21428.424179065,0.943,"18h-23h","Measurement"
"94.4%3",22145.7118797779,0.944,"18h-23h","Measurement"
"94.5%3",23015.1141041971,0.945,"18h-23h","Measurement"
"94.6%3",23819.9271523385,0.946,"18h-23h","Measurement"
"94.7%3",24774.7377446756,0.947,"18h-23h","Measurement"
"94.8%3",25770.1144918299,0.948,"18h-23h","Measurement"
"94.9%3",26846.1915365705,0.949,"18h-23h","Measurement"
"95.0%3",27907.7161853194,0.95,"18h-23h","Measurement"
"95.1%3",28799.9140215833,0.951,"18h-23h","Measurement"
"95.2%3",28799.9773389359,0.952,"18h-23h","Measurement"
"95.3%3",28800.0105362632,0.953,"18h-23h","Measurement"
"95.4%3",28800.0418805366,0.954,"18h-23h","Measurement"
"95.5%3",28800.0786168766,0.955,"18h-23h","Measurement"
"95.6%3",28800.1430460587,0.956,"18h-23h","Measurement"
"95.7%3",29118.4531906396,0.957,"18h-23h","Measurement"
"95.8%3",30203.3881011405,0.958,"18h-23h","Measurement"
"95.9%3",31279.1444292092,0.959,"18h-23h","Measurement"
"96.0%3",32422.3638637256,0.96,"18h-23h","Measurement"
"96.1%3",33575.1883550079,0.961,"18h-23h","Measurement"
"96.2%3",34754.6122856206,0.962,"18h-23h","Measurement"
"96.3%3",35972.2355460162,0.963,"18h-23h","Measurement"
"96.4%3",37156.4010539579,0.964,"18h-23h","Measurement"
"96.5%3",38345.4138298643,0.965,"18h-23h","Measurement"
"96.6%3",39539.3660677261,0.966,"18h-23h","Measurement"
"96.7%3",40772.5384647901,0.967,"18h-23h","Measurement"
"96.8%3",42004.7553028583,0.968,"18h-23h","Measurement"
"96.9%3",43265.4088428526,0.969,"18h-23h","Measurement"
"97.0%3",44504.1604758835,0.97,"18h-23h","Measurement"
"97.1%3",45695.1517513485,0.971,"18h-23h","Measurement"
"97.2%3",46929.0678487568,0.972,"18h-23h","Measurement"
"97.3%3",48281.7340604565,0.973,"18h-23h","Measurement"
"97.4%3",49696.6496756496,0.974,"18h-23h","Measurement"
"97.5%3",51178.3214699864,0.975,"18h-23h","Measurement"
"97.6%3",52830.7281463757,0.976,"18h-23h","Measurement"
"97.7%3",54545.2869385165,0.977,"18h-23h","Measurement"
"97.8%3",56382.9013202396,0.978,"18h-23h","Measurement"
"97.9%3",58136.0265170591,0.979,"18h-23h","Measurement"
"98.0%3",60069.7798637681,0.98,"18h-23h","Measurement"
"98.1%3",62224.3347388515,0.981,"18h-23h","Measurement"
"98.2%3",64535.6160041249,0.982,"18h-23h","Measurement"
"98.3%3",67103.1358567593,0.983,"18h-23h","Measurement"
"98.4%3",69918.550341503,0.984,"18h-23h","Measurement"
"98.5%3",72931.9900362921,0.985,"18h-23h","Measurement"
"98.6%3",76179.3659722604,0.986,"18h-23h","Measurement"
"98.7%3",79698.3350497346,0.987,"18h-23h","Measurement"
"98.8%3",83337.7384085751,0.988,"18h-23h","Measurement"
"98.9%3",86399.9704397705,0.989,"18h-23h","Measurement"
"99.0%3",87912.2458794902,0.99,"18h-23h","Measurement"
"99.1%3",93441.5581000397,0.991,"18h-23h","Measurement"
"99.2%3",103536.59227995,0.992,"18h-23h","Measurement"
"99.3%3",123718.467346407,0.993,"18h-23h","Measurement"
"99.4%3",137276.208584701,0.994,"18h-23h","Measurement"
"99.5%3",149531.257527699,0.995,"18h-23h","Measurement"
"99.6%3",164250.539261739,0.996,"18h-23h","Measurement"
"99.7%3",185933.702676722,0.997,"18h-23h","Measurement"
"99.8%3",234750.667861036,0.998,"18h-23h","Measurement"
"99.9%3",313167.286267262,0.999,"18h-23h","Measurement"
"100.0%3",1165884.91384339,1,"18h-23h","Measurement"
"4005",0.919208,0,"0h-5h","Fit"
"4006",0.968893175766922,0.001,"0h-5h","Fit"
"4007",1.01879107434826,0.002,"0h-5h","Fit"
"4008",1.06889511948674,0.003,"0h-5h","Fit"
"4009",1.11919879255101,0.004,"0h-5h","Fit"
"4010",1.1696956328239,0.005,"0h-5h","Fit"
"4011",1.2203792377923,0.006,"0h-5h","Fit"
"4012",1.2712432634389,0.007,"0h-5h","Fit"
"4013",1.32228142453565,0.008,"0h-5h","Fit"
"4014",1.37348749493896,0.009,"0h-5h","Fit"
"4015",1.42485530788668,0.01,"0h-5h","Fit"
"4016",1.47637875629693,0.011,"0h-5h","Fit"
"4017",1.52805179306868,0.012,"0h-5h","Fit"
"4018",1.57986843138418,0.013,"0h-5h","Fit"
"4019",1.63182274501317,0.014,"0h-5h","Fit"
"4020",1.68390886861904,0.015,"0h-5h","Fit"
"4021",1.73612099806671,0.016,"0h-5h","Fit"
"4022",1.7884533907325,0.017,"0h-5h","Fit"
"4023",1.84090036581583,0.018,"0h-5h","Fit"
"4024",1.89345630465279,0.019,"0h-5h","Fit"
"4025",1.94611565103169,0.02,"0h-5h","Fit"
"4026",1.99887291151051,0.021,"0h-5h","Fit"
"4027",2.0517226557362,0.022,"0h-5h","Fit"
"4028",2.10465951676611,0.023,"0h-5h","Fit"
"4029",2.15767819139121,0.024,"0h-5h","Fit"
"4030",2.2107734404614,0.025,"0h-5h","Fit"
"4031",2.26394008921276,0.026,"0h-5h","Fit"
"4032",2.31717302759685,0.027,"0h-5h","Fit"
"4033",2.370467210612,0.028,"0h-5h","Fit"
"4034",2.42381765863662,0.029,"0h-5h","Fit"
"4035",2.47721945776462,0.03,"0h-5h","Fit"
"4036",2.53066776014288,0.031,"0h-5h","Fit"
"4037",2.58415778431075,0.032,"0h-5h","Fit"
"4038",2.63768481554169,0.033,"0h-5h","Fit"
"4039",2.69124420618705,0.034,"0h-5h","Fit"
"4040",2.7448313760219,0.035,"0h-5h","Fit"
"4041",2.79844181259307,0.036,"0h-5h","Fit"
"4042",2.85207107156932,0.037,"0h-5h","Fit"
"4043",2.90571477709368,0.038,"0h-5h","Fit"
"4044",2.95936862213799,0.039,"0h-5h","Fit"
"4045",3.01302836885963,0.04,"0h-5h","Fit"
"4046",3.06668984896051,0.041,"0h-5h","Fit"
"4047",3.12034896404824,0.042,"0h-5h","Fit"
"4048",3.17400168599958,0.043,"0h-5h","Fit"
"4049",3.22764405732618,0.044,"0h-5h","Fit"
"4050",3.28127219154261,0.045,"0h-5h","Fit"
"4051",3.3348822735366,0.046,"0h-5h","Fit"
"4052",3.38847055994176,0.047,"0h-5h","Fit"
"4053",3.44203337951247,0.048,"0h-5h","Fit"
"4054",3.49556713350127,0.049,"0h-5h","Fit"
"4055",3.5490682960385,0.05,"0h-5h","Fit"
"4056",3.60253341451443,0.051,"0h-5h","Fit"
"4057",3.65595910996372,0.052,"0h-5h","Fit"
"4058",3.70934207745232,0.053,"0h-5h","Fit"
"4059",3.76267908646688,0.054,"0h-5h","Fit"
"4060",3.8159669813065,0.055,"0h-5h","Fit"
"4061",3.8692026814771,0.056,"0h-5h","Fit"
"4062",3.92238318208812,0.057,"0h-5h","Fit"
"4063",3.97550555425189,0.058,"0h-5h","Fit"
"4064",4.02856694548546,0.059,"0h-5h","Fit"
"4065",4.08156458011496,0.06,"0h-5h","Fit"
"4066",4.13449575968259,0.061,"0h-5h","Fit"
"4067",4.18735786335617,0.062,"0h-5h","Fit"
"4068",4.24014834834128,0.063,"0h-5h","Fit"
"4069",4.29286475029608,0.064,"0h-5h","Fit"
"4070",4.34550468374871,0.065,"0h-5h","Fit"
"4071",4.39806584251744,0.066,"0h-5h","Fit"
"4072",4.45054600013342,0.067,"0h-5h","Fit"
"4073",4.50294301026625,0.068,"0h-5h","Fit"
"4074",4.55525480715213,0.069,"0h-5h","Fit"
"4075",4.60747940602488,0.07,"0h-5h","Fit"
"4076",4.65961490354972,0.071,"0h-5h","Fit"
"4077",4.71165947825975,0.072,"0h-5h","Fit"
"4078",4.76361139099534,0.073,"0h-5h","Fit"
"4079",4.81546898534631,0.074,"0h-5h","Fit"
"4080",4.86723068809697,0.075,"0h-5h","Fit"
"4081",4.91889500967401,0.076,"0h-5h","Fit"
"4082",4.97046054459733,0.077,"0h-5h","Fit"
"4083",5.02192597193377,0.078,"0h-5h","Fit"
"4084",5.07329005575379,0.079,"0h-5h","Fit"
"4085",5.12455164559106,0.08,"0h-5h","Fit"
"4086",5.17570967690512,0.081,"0h-5h","Fit"
"4087",5.226763171547,0.082,"0h-5h","Fit"
"4088",5.27771123822786,0.083,"0h-5h","Fit"
"4089",5.32855307299072,0.084,"0h-5h","Fit"
"4090",5.37928795968524,0.085,"0h-5h","Fit"
"4091",5.42991527044563,0.086,"0h-5h","Fit"
"4092",5.48043446617163,0.087,"0h-5h","Fit"
"4093",5.53084509701269,0.088,"0h-5h","Fit"
"4094",5.58114680285533,0.089,"0h-5h","Fit"
"4095",5.63133931381364,0.09,"0h-5h","Fit"
"4096",5.68142245072303,0.091,"0h-5h","Fit"
"4097",5.73139612563726,0.092,"0h-5h","Fit"
"4098",5.78126034232871,0.093,"0h-5h","Fit"
"4099",5.83101519679189,0.094,"0h-5h","Fit"
"4100",5.88066087775041,0.095,"0h-5h","Fit"
"4101",5.93019766716716,0.096,"0h-5h","Fit"
"4102",5.97962594075791,0.097,"0h-5h","Fit"
"4103",6.02894616850838,0.098,"0h-5h","Fit"
"4104",6.0781589151946,0.099,"0h-5h","Fit"
"4105",6.12726484090683,0.1,"0h-5h","Fit"
"4106",6.17626470157691,0.101,"0h-5h","Fit"
"4107",6.22515934950914,0.102,"0h-5h","Fit"
"4108",6.27394973391468,0.103,"0h-5h","Fit"
"4109",6.32263690144946,0.104,"0h-5h","Fit"
"4110",6.3712219967558,0.105,"0h-5h","Fit"
"4111",6.41970626300752,0.106,"0h-5h","Fit"
"4112",6.46809104245877,0.107,"0h-5h","Fit"
"4113",6.51637777699651,0.108,"0h-5h","Fit"
"4114",6.56456800869666,0.109,"0h-5h","Fit"
"4115",6.61266338038404,0.11,"0h-5h","Fit"
"4116",6.66066563619604,0.111,"0h-5h","Fit"
"4117",6.70857662215003,0.112,"0h-5h","Fit"
"4118",6.7563982867147,0.113,"0h-5h","Fit"
"4119",6.80413268138515,0.114,"0h-5h","Fit"
"4120",6.85178196126187,0.115,"0h-5h","Fit"
"4121",6.8993483856337,0.116,"0h-5h","Fit"
"4122",6.94683431856464,0.117,"0h-5h","Fit"
"4123",6.99424222948468,0.118,"0h-5h","Fit"
"4124",7.04157469378467,0.119,"0h-5h","Fit"
"4125",7.08883439341509,0.12,"0h-5h","Fit"
